Node	Occurrences	Present in network(s)	Cited in paper(s)
H3N2S2	1	[9606;Mammary Gland]	[10.1021/acs.jproteome.1c00219, 10.1046/j.1432-1327.1999.00572.x]
N1S1	1	[9823;Zona Pellucida]	[10.1016/s0008-6215(00)90358-6, 10.1016/s0021-9258(18)90831-8, 10.7150/thno.65398, 10.1046/j.1432-1327.1998.2510288.x, 10.1111/j.1432-1033.1988.tb14394.x, 10.1093/glycob/4.2.203, 10.1016/s0021-9258(17)35887-8, 10.1021/bi00141a028, 10.1016/s0021-9258(17)44269-4, 10.1021/acs.analchem.0c01794, 10.1111/j.1432-1033.1974.tb03812.x, 10.2331/fishsci.63.779, 10.1023/A:1019763214180, 10.1074/jbc.M202921200, 10.1182/blood.v80.9.2388.bloodjournal8092388, 10.1021/acs.analchem.1c00893, 10.1016/s0021-9258(18)67162-5, 10.1093/glycob/11.8.633, 10.1016/s0021-9258(17)39465-6, 10.1016/s0021-9258(18)45301-x, 10.1021/acs.jproteome.1c00219, 10.1016/s0021-9258(17)36284-1, 10.2331/suisan.49.1601, 10.1016/s0008-6215(00)90008-9, 10.1016/0021-9673(90)85022-n, 10.1046/j.1432-1327.1999.00544.x, 10.1074/jbc.272.43.27025, 10.1006/abbi.1993.1158, 10.1023/a:1006987315827]
N1G1	1	[9823;Zona Pellucida]	[10.1016/s0021-9258(19)86786-8, 10.1111/j.1432-1033.1981.tb05545.x, 10.1016/0003-9861(68)90233-6, 10.1016/s0008-6215(00)90358-6, 10.1016/s0021-9258(18)93649-5, 10.1007/BF01049269, 10.1016/0021-9673(90)85022-n, 10.1016/s0021-9258(17)37723-2, 10.1074/jbc.272.43.27025]
H1N2F2	1	[9823;Tracheal Mucosa]	[10.18632/oncotarget.26005, 10.1042/bj3520449, 10.1021/acs.jproteome.1c00219, 10.1021/bi00141a028, 10.1006/abio.1997.2193, 10.1111/j.1432-1033.1988.tb13835.x]
H4N4F1S1	2	[9606;Urine, 9606;Milk]	[10.1021/bi001367j, 10.1016/s0021-9258(18)67163-7, 10.1007/s00018-020-03504-z]
H4N4F1S2	1	[9606;Urine]	[10.1007/s00018-020-03504-z]
H2N2S1	2	[10116;Mucosa of Small Intestine, 9606;Blood Serum]	[10.1016/s0021-9258(18)90831-8, 10.1016/s0008-6215(00)82679-8, 10.7150/thno.65398, 10.1016/s0021-9258(18)34849-x, 10.1111/j.1432-1033.1988.tb14394.x, 10.1093/glycob/cwaa042, 10.1111/j.1432-1033.1987.tb13387.x, 10.1021/bi00141a028, 10.1111/j.1432-1033.1985.tb09204.x, 10.1084/jem.173.6.1501, 10.1016/j.chroma.2014.10.046, 10.1021/acs.jproteome.0c00702, 10.1006/abbi.1997.0143, 10.1073/pnas.2635507100, 10.1111/j.1432-1033.1990.tb15474.x, 10.1007/BF01049269, 10.1046/j.1432-1327.1999.00544.x, 10.1046/j.1432-1327.1998.2530485.x, 10.1111/j.1432-1033.1989.tb14810.x, 10.1074/jbc.275.11.7731, 10.1016/0300-9084(92)90182-e, 10.1023/a:1006987315827, 10.1016/s0021-9258(18)41768-1, 10.1016/0014-5793(81)80467-x, 10.1016/s0021-9258(19)57280-5, 10.1016/s0021-9258(18)67163-7, 10.1074/jbc.271.31.18732, 10.1093/glycob/4.2.203, 10.1007/s00018-020-03504-z, 10.1021/ac4006556, 10.1021/bi001367j, 10.1111/j.1432-1033.1989.tb14853.x, 10.1016/0304-4165(81)90215-4, 10.1021/bi00592a015, 10.1021/pr900956x, 10.1016/s0021-9258(17)46696-8, 10.18632/oncotarget.26005, 10.1016/S0021-9258(17)32238-X, 10.1074/jbc.M202921200, 10.1111/j.1432-1033.1994.tb18762.x, 10.1111/jth.14861, 10.1016/s0021-9258(18)67162-5, 10.1021/acs.analchem.1c00893, 10.1046/j.1432-1327.1999.00572.x, 10.1016/s0021-9258(17)42926-7, 10.1093/glycob/11.8.633, 10.1016/s0021-9258(18)32413-x, 10.1016/j.chom.2020.08.004, 10.1016/s0021-9258(19)89195-0, 10.1021/bi972612a, 10.1021/acs.jproteome.1c00219, 10.1093/glycob/11.6.459, 10.1007/bf01189075, 10.1111/j.1432-1033.1986.tb09868.x, 10.1016/s0021-9258(17)44261-x]
H2N4S2	1	[9606;Colonic Mucosa]	[10.1007/s00018-020-03504-z]
H2N4S3	1	[9606;Colonic Mucosa]	[10.1016/s0021-9258(17)34500-3]
H1N2F1S1	1	[10116;Mucosa of Small Intestine]	[10.18632/oncotarget.26005, 10.1046/j.1432-1327.1998.2520253.x, 10.1016/s0021-9258(17)47263-2, 10.1111/jth.14861, 10.1042/bj2600389, 10.1016/s0014-5793(03)01183-9, 10.1093/glycob/4.2.203, 10.1111/j.1432-1033.1988.tb14394.x, 10.1111/j.1432-1033.1990.tb19407.x, 10.1021/acs.jproteome.1c00219, 10.1016/s0008-6215(00)90008-9, 10.1038/s41592-021-01309-x, 10.1111/j.1432-1033.1987.tb13387.x, 10.1111/j.1432-1033.1992.tb17132.x, 10.1093/glycob/7.6.777, 10.1111/j.1432-1033.1989.tb14810.x]
